               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048161,           0.0061214,            0.018676,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033304,           0.0033304,            0.070027
                   1,            0.038875,           0.0034823,            0.013439,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066635,           0.0066635,            0.040027
                   2,            0.035619,           0.0026759,            0.012117,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099961,           0.0099961,            0.010026
                   3,            0.036144,           0.0026776,            0.012598,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099978,           0.0099978,           0.0099978
                   4,            0.036894,           0.0028073,            0.013615,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099978,           0.0099978,           0.0099978
                   5,            0.035885,           0.0027679,            0.012971,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099961,           0.0099961,           0.0099961
                   6,            0.033849,           0.0026997,            0.012327,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,            0.031476,           0.0026729,            0.011681,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.032653,           0.0024185,            0.011482,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.032516,           0.0026875,            0.012441,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.031217,           0.0025044,             0.01159,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.031677,            0.002579,            0.012186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.031788,           0.0024185,            0.012503,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.028572,           0.0023279,            0.010471,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.031916,           0.0024813,            0.012087,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.029673,           0.0023932,             0.01078,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.030687,           0.0026514,            0.011646,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.030635,           0.0023611,            0.012029,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009937,            0.009937,            0.009937
