               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11221,            0.056937,            0.069515,            0.030554,             0.22446,            0.020737,           0.0048819,            0.083332,            0.038872,            0.063521,             0.00302,             0.00302,             0.07282
                   1,            0.084402,            0.062709,            0.061416,             0.85648,            0.080087,            0.045177,            0.019678,            0.082871,            0.027267,            0.058355,           0.0060446,           0.0060446,            0.045545
                   2,            0.084641,             0.05316,             0.05768,             0.90131,            0.060428,            0.076418,            0.036486,            0.078276,            0.020725,            0.056125,           0.0090478,           0.0090478,            0.018248
                   3,            0.080441,            0.052876,            0.057076,             0.48583,             0.36305,             0.18468,            0.078991,            0.054442,            0.026418,            0.054507,           0.0099203,           0.0099203,           0.0099203
                   4,            0.065023,            0.056032,            0.055646,             0.18527,             0.44657,              0.1992,            0.083339,            0.052799,            0.023448,            0.052133,           0.0099203,           0.0099203,           0.0099203
                   5,            0.061967,            0.065193,             0.05415,             0.50371,             0.32823,             0.25585,             0.11453,            0.046155,            0.022583,            0.049831,           0.0098586,           0.0098586,           0.0098586
                   6,            0.052739,            0.053854,            0.051739,             0.66669,             0.33284,             0.43749,             0.23678,            0.040283,            0.020775,            0.047544,           0.0097798,           0.0097798,           0.0097798
                   7,               0.051,            0.052521,            0.051536,             0.88229,             0.32638,             0.43322,             0.21238,             0.03756,             0.02001,            0.045831,            0.009684,            0.009684,            0.009684
                   8,            0.043521,            0.050524,            0.049543,             0.95133,              0.3071,             0.44791,             0.21816,            0.033349,            0.019211,             0.04364,           0.0095717,           0.0095717,           0.0095717
                   9,            0.044545,            0.053636,            0.047112,             0.46921,              0.3929,             0.46124,             0.27823,            0.032935,            0.019016,            0.042509,           0.0094434,           0.0094434,           0.0094434
                  10,            0.041149,            0.048492,            0.046206,             0.43972,             0.48549,             0.46678,             0.22199,            0.038041,            0.018497,            0.040268,           0.0092995,           0.0092995,           0.0092995
                  11,             0.04105,            0.048436,            0.044522,             0.62986,              0.4058,                0.47,             0.28579,            0.029407,            0.018184,            0.038838,           0.0091406,           0.0091406,           0.0091406
                  12,            0.038245,            0.049715,            0.042819,             0.87233,             0.37001,               0.498,             0.25285,            0.034343,            0.018186,            0.036765,           0.0089673,           0.0089673,           0.0089673
                  13,            0.041231,            0.046979,            0.042067,             0.45822,              0.4132,             0.45308,             0.25887,            0.031498,            0.017666,            0.036152,           0.0087804,           0.0087804,           0.0087804
                  14,            0.038223,            0.044374,            0.041763,             0.43194,             0.52108,              0.4792,             0.23019,            0.036836,            0.018176,            0.035193,           0.0085805,           0.0085805,           0.0085805
                  15,            0.038227,             0.04779,            0.039956,             0.34218,              0.6289,             0.49791,              0.2975,            0.027902,            0.017864,            0.034306,           0.0083684,           0.0083684,           0.0083684
                  16,            0.038363,            0.045902,            0.039866,              0.4459,             0.58453,             0.50302,             0.27813,            0.031575,            0.017625,            0.034032,            0.008145,            0.008145,            0.008145
                  17,            0.035834,            0.045042,            0.038673,             0.35695,             0.64296,             0.47425,              0.3131,            0.024802,            0.017085,            0.032185,           0.0079112,           0.0079112,           0.0079112
                  18,            0.034822,             0.04633,            0.037098,             0.37425,             0.64666,              0.4975,             0.28142,            0.031251,            0.017879,            0.031064,           0.0076679,           0.0076679,           0.0076679
                  19,            0.032916,             0.04413,            0.035591,             0.38586,             0.69346,              0.5255,             0.34716,            0.024295,            0.016906,            0.029872,            0.007416,            0.007416,            0.007416
                  20,            0.035339,            0.044107,            0.034453,             0.35036,             0.71017,             0.54708,             0.32002,            0.030531,            0.017895,            0.029369,           0.0071566,           0.0071566,           0.0071566
                  21,            0.034956,            0.043893,            0.032874,             0.34009,             0.72783,             0.57778,              0.3681,            0.026894,            0.017363,            0.028275,           0.0068906,           0.0068906,           0.0068906
                  22,            0.032596,            0.043498,            0.032544,             0.55016,             0.62475,             0.57995,             0.38105,            0.024855,            0.016446,            0.027387,           0.0066191,           0.0066191,           0.0066191
                  23,            0.033508,            0.043853,             0.03189,             0.40607,             0.64112,             0.61835,             0.39767,            0.025965,            0.017152,            0.026328,           0.0063432,           0.0063432,           0.0063432
                  24,            0.032865,            0.044763,            0.031024,             0.40746,             0.73911,             0.62519,             0.44117,            0.021022,            0.016397,            0.025401,            0.006064,            0.006064,            0.006064
                  25,            0.030846,            0.045143,            0.029857,             0.44988,             0.67676,             0.63308,             0.44065,            0.022153,            0.016077,            0.024638,           0.0057826,           0.0057826,           0.0057826
                  26,            0.031851,            0.042503,            0.029495,             0.53619,             0.69347,             0.63598,              0.4505,            0.021864,            0.016479,            0.024005,              0.0055,              0.0055,              0.0055
                  27,            0.031367,            0.043801,             0.02877,             0.54488,              0.7249,             0.64474,             0.43688,            0.022863,            0.016483,            0.023295,           0.0052174,           0.0052174,           0.0052174
                  28,            0.031178,            0.043697,             0.02851,             0.65135,              0.6941,             0.64616,             0.44148,            0.022451,            0.016446,            0.022702,            0.004936,            0.004936,            0.004936
                  29,            0.028054,            0.040192,            0.027611,             0.66807,             0.68117,             0.64931,             0.45122,            0.021549,            0.016296,             0.02189,           0.0046568,           0.0046568,           0.0046568
                  30,            0.029531,            0.044722,            0.026489,             0.59426,               0.725,             0.65334,             0.47313,            0.021566,            0.016099,            0.021444,           0.0043809,           0.0043809,           0.0043809
                  31,            0.028602,             0.04097,            0.026637,             0.70998,             0.70435,             0.65569,             0.47268,            0.020121,            0.015796,            0.021028,           0.0041094,           0.0041094,           0.0041094
                  32,            0.028022,            0.041991,            0.026586,             0.68196,             0.71718,             0.66515,             0.48719,            0.020308,             0.01583,             0.02034,           0.0038434,           0.0038434,           0.0038434
                  33,            0.028233,            0.043026,            0.025511,              0.6489,             0.75174,             0.66616,             0.47813,            0.021202,            0.016015,            0.019836,            0.003584,            0.003584,            0.003584
                  34,            0.027276,            0.041091,            0.025093,             0.69096,             0.67721,             0.68246,             0.48619,            0.020203,            0.016025,            0.019116,           0.0033321,           0.0033321,           0.0033321
                  35,            0.026858,            0.042106,            0.024323,             0.44666,              0.9206,              0.6748,             0.50877,            0.020706,            0.015412,            0.018756,           0.0030888,           0.0030888,           0.0030888
                  36,            0.026316,            0.039494,            0.024174,              0.4536,             0.92679,             0.68376,             0.50929,            0.019628,            0.015684,             0.01834,            0.002855,            0.002855,            0.002855
                  37,            0.026905,            0.044563,             0.02374,             0.49479,             0.92282,             0.71365,             0.53874,            0.020347,            0.015807,            0.017781,           0.0026316,           0.0026316,           0.0026316
                  38,            0.026029,            0.039007,            0.023302,             0.48282,             0.92282,             0.70775,             0.52874,            0.019806,            0.015516,            0.017492,           0.0024195,           0.0024195,           0.0024195
                  39,            0.025834,            0.041162,            0.022584,             0.50931,             0.85737,             0.70411,             0.53435,            0.019324,            0.015503,            0.017172,           0.0022196,           0.0022196,           0.0022196
                  40,            0.025602,            0.042078,            0.022398,             0.52874,              0.8747,              0.7167,             0.53954,            0.020035,            0.015437,            0.016965,           0.0020327,           0.0020327,           0.0020327
                  41,               0.026,            0.042852,            0.022083,             0.52078,             0.92057,             0.73597,              0.5636,            0.017802,            0.015372,            0.016633,           0.0018594,           0.0018594,           0.0018594
                  42,            0.025077,            0.040615,            0.021995,             0.51125,             0.93514,             0.75417,             0.55968,            0.018575,            0.015521,            0.016327,           0.0017005,           0.0017005,           0.0017005
                  43,            0.025288,            0.041843,            0.021638,             0.53075,             0.88596,             0.74617,             0.56435,            0.017984,            0.015371,            0.016209,           0.0015566,           0.0015566,           0.0015566
                  44,            0.025054,            0.041412,            0.021243,             0.58486,             0.84681,             0.75389,             0.56962,            0.018339,             0.01544,            0.015904,           0.0014283,           0.0014283,           0.0014283
                  45,             0.02575,            0.041245,             0.02168,             0.54914,             0.86286,             0.76493,             0.57811,            0.017709,            0.015155,            0.015678,            0.001316,            0.001316,            0.001316
                  46,            0.024744,            0.038765,            0.021452,             0.56897,             0.88586,             0.76502,             0.58217,            0.017588,            0.015607,             0.01563,           0.0012202,           0.0012202,           0.0012202
                  47,            0.025258,            0.041871,            0.021486,             0.56647,             0.85379,             0.77477,             0.57564,            0.018857,            0.015468,            0.015286,           0.0011414,           0.0011414,           0.0011414
                  48,            0.024339,            0.040586,             0.02096,             0.57268,             0.83996,              0.7686,             0.58728,            0.017493,            0.015053,            0.015211,           0.0010797,           0.0010797,           0.0010797
                  49,            0.024739,            0.040504,            0.020626,             0.52922,             0.96035,             0.76083,             0.57413,            0.017799,            0.015203,            0.015117,           0.0010355,           0.0010355,           0.0010355
