               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092072,            0.061908,             0.06488,             0.15411,             0.26277,             0.10654,            0.031391,            0.057928,            0.042224,            0.056982,           0.0033304,           0.0033304,            0.070027
                   1,            0.062143,            0.059405,            0.057857,             0.23377,              0.3409,              0.2374,             0.10971,            0.048198,            0.039068,            0.053588,            0.006663,            0.006663,            0.040026
                   2,            0.057094,            0.057102,            0.054775,             0.27553,             0.47743,             0.35047,             0.13086,            0.044287,            0.036668,            0.049087,           0.0099931,           0.0099931,            0.010023
                   3,            0.049354,            0.052967,            0.050195,             0.20612,             0.49478,             0.35431,             0.17319,            0.038034,            0.033188,            0.044794,           0.0099911,           0.0099911,           0.0099911
                   4,            0.043257,            0.049595,            0.046456,             0.23258,             0.62783,             0.41613,             0.24256,            0.032463,            0.032404,            0.040742,           0.0099911,           0.0099911,           0.0099911
                   5,            0.040827,            0.048597,            0.042439,             0.23102,             0.79725,             0.47658,              0.2371,            0.036709,            0.032709,            0.036509,           0.0099842,           0.0099842,           0.0099842
                   6,            0.039317,            0.047925,            0.039026,             0.31153,              0.7797,             0.54423,             0.32393,            0.031325,             0.03185,             0.03381,           0.0099753,           0.0099753,           0.0099753
                   7,            0.038306,            0.047163,             0.03575,             0.35115,             0.88219,             0.58341,             0.35144,            0.030465,            0.030577,            0.030785,           0.0099645,           0.0099645,           0.0099645
                   8,            0.037272,            0.046632,            0.033607,             0.39776,             0.87623,             0.62116,             0.39637,            0.026519,            0.030211,            0.028566,           0.0099517,           0.0099517,           0.0099517
                   9,            0.036474,            0.047382,            0.031172,             0.40781,             0.89212,             0.62576,              0.4198,             0.02581,            0.030579,            0.026788,            0.009937,            0.009937,            0.009937
                  10,            0.035792,            0.045954,             0.02986,             0.41709,             0.86251,             0.65581,             0.44248,            0.026363,            0.030256,            0.025244,           0.0099203,           0.0099203,           0.0099203
                  11,             0.03474,            0.044644,            0.028625,             0.45005,             0.88852,             0.69404,             0.46459,            0.028132,            0.029773,             0.02386,           0.0099017,           0.0099017,           0.0099017
                  12,            0.033712,            0.044467,            0.026492,             0.50781,             0.81228,             0.72546,             0.50738,            0.024223,            0.028834,            0.022334,           0.0098811,           0.0098811,           0.0098811
                  13,             0.03353,            0.043362,            0.025816,             0.50333,             0.85149,              0.7447,             0.52097,             0.02484,            0.029039,            0.020887,           0.0098586,           0.0098586,           0.0098586
                  14,             0.03396,            0.044776,             0.02504,             0.63252,             0.78128,             0.76635,             0.53165,             0.02404,            0.029126,            0.019847,           0.0098342,           0.0098342,           0.0098342
                  15,            0.033336,            0.044695,            0.023289,             0.60282,             0.81741,              0.7893,             0.56203,            0.023289,            0.028597,            0.018393,           0.0098079,           0.0098079,           0.0098079
                  16,            0.032769,            0.043903,            0.022479,             0.68263,             0.81855,             0.81956,              0.5729,            0.024503,            0.028551,            0.016997,           0.0097798,           0.0097798,           0.0097798
                  17,            0.032858,            0.043767,            0.021523,             0.69772,             0.82622,             0.82693,             0.59202,            0.023664,             0.02826,            0.016754,           0.0097497,           0.0097497,           0.0097497
                  18,            0.032482,             0.04286,            0.021671,             0.76111,             0.83261,             0.85234,             0.59337,            0.024527,            0.028683,            0.015077,           0.0097178,           0.0097178,           0.0097178
                  19,            0.032782,             0.04423,            0.020359,             0.75839,             0.85372,             0.87795,             0.62221,            0.024232,            0.028494,            0.014298,            0.009684,            0.009684,            0.009684
                  20,            0.032119,            0.042523,            0.019404,             0.79539,             0.87963,             0.90572,             0.65077,             0.02294,            0.027851,            0.013017,           0.0096484,           0.0096484,           0.0096484
                  21,            0.031389,            0.043867,            0.018143,              0.8296,             0.88302,              0.9157,             0.67526,            0.022853,            0.027711,            0.011805,            0.009611,            0.009611,            0.009611
                  22,            0.031417,            0.041357,            0.018307,             0.85018,              0.8719,              0.9177,             0.67349,            0.022766,            0.027782,            0.011336,           0.0095717,           0.0095717,           0.0095717
                  23,            0.030938,            0.042477,            0.017339,             0.84345,             0.90195,             0.93852,             0.69359,            0.022678,            0.027889,            0.010449,           0.0095307,           0.0095307,           0.0095307
                  24,            0.030683,            0.043097,            0.016533,              0.9163,             0.88089,             0.94527,             0.68508,            0.023719,            0.027513,           0.0099379,           0.0094879,           0.0094879,           0.0094879
                  25,             0.03016,             0.04041,            0.015958,             0.93321,             0.89998,             0.95131,             0.70878,            0.021907,            0.027552,           0.0097832,           0.0094434,           0.0094434,           0.0094434
                  26,            0.030629,            0.042455,            0.015503,             0.91704,             0.91642,             0.94998,             0.70495,            0.021492,            0.027369,           0.0096577,           0.0093971,           0.0093971,           0.0093971
                  27,            0.030542,            0.042358,             0.01563,             0.94724,             0.93283,             0.96142,             0.71691,            0.022986,            0.027408,           0.0092711,           0.0093491,           0.0093491,           0.0093491
                  28,            0.030033,            0.041729,             0.01466,             0.93625,             0.92151,             0.96485,             0.70064,            0.023481,            0.027664,           0.0087514,           0.0092995,           0.0092995,           0.0092995
                  29,            0.029712,            0.041195,            0.014465,             0.94079,             0.94434,             0.96865,             0.72925,             0.02117,            0.027146,           0.0082094,           0.0092481,           0.0092481,           0.0092481
                  30,            0.029831,            0.041972,            0.016078,             0.95562,             0.92263,              0.9596,             0.70555,            0.024346,            0.028273,            0.010544,           0.0091952,           0.0091952,           0.0091952
                  31,             0.02975,            0.040684,            0.016096,             0.95916,             0.93925,             0.97132,             0.72715,            0.021558,            0.027286,           0.0077145,           0.0091406,           0.0091406,           0.0091406
                  32,            0.029483,            0.041222,            0.014241,             0.96227,             0.94843,             0.97403,             0.72334,            0.022598,            0.027165,           0.0070615,           0.0090844,           0.0090844,           0.0090844
                  33,            0.029414,            0.041322,            0.012846,             0.97124,             0.95014,             0.97489,             0.73877,            0.021273,            0.027022,           0.0067582,           0.0090266,           0.0090266,           0.0090266
                  34,            0.029075,            0.040958,            0.013182,             0.95622,             0.95025,              0.9715,             0.73211,            0.021289,            0.026669,           0.0069953,           0.0089673,           0.0089673,           0.0089673
                  35,            0.029303,            0.040339,            0.013092,             0.97173,             0.94698,             0.97227,             0.72813,            0.021283,            0.026746,           0.0068479,           0.0089065,           0.0089065,           0.0089065
                  36,            0.028809,            0.040104,            0.012611,             0.95915,             0.95435,             0.97421,             0.73188,            0.021462,            0.026743,           0.0064955,           0.0088442,           0.0088442,           0.0088442
                  37,            0.028611,            0.040486,            0.012633,              0.9666,             0.95153,             0.97288,             0.73733,            0.021379,            0.026595,           0.0066182,           0.0087804,           0.0087804,           0.0087804
                  38,            0.028456,            0.041884,            0.011955,              0.9717,             0.95528,              0.9747,             0.74679,            0.020582,            0.026499,           0.0060884,           0.0087151,           0.0087151,           0.0087151
                  39,            0.027781,             0.04029,            0.012619,             0.97084,             0.96611,             0.97774,             0.74839,            0.020956,            0.026383,           0.0058671,           0.0086485,           0.0086485,           0.0086485
                  40,            0.028275,            0.040847,            0.011772,             0.97615,             0.96047,             0.97618,             0.74874,             0.02055,             0.02628,           0.0056405,           0.0085805,           0.0085805,           0.0085805
                  41,            0.027991,            0.040019,            0.011356,              0.9671,             0.97452,             0.97785,             0.75459,             0.01978,            0.026168,           0.0056144,           0.0085111,           0.0085111,           0.0085111
                  42,            0.027749,            0.039809,            0.011469,             0.97402,             0.96277,             0.97598,              0.7453,            0.020775,            0.026255,           0.0056365,           0.0084404,           0.0084404,           0.0084404
                  43,            0.027457,            0.039291,              0.0113,             0.97454,             0.96911,             0.97967,             0.75247,            0.019789,            0.026179,           0.0054623,           0.0083684,           0.0083684,           0.0083684
                  44,            0.027338,            0.040224,            0.010962,             0.96687,             0.96753,             0.97755,             0.75496,            0.019574,            0.026001,           0.0053564,           0.0082952,           0.0082952,           0.0082952
                  45,            0.027123,            0.039315,            0.011394,             0.97354,             0.96918,             0.97781,             0.75978,             0.01987,            0.025965,           0.0052375,           0.0082207,           0.0082207,           0.0082207
                  46,             0.02674,            0.038556,            0.010673,             0.98145,             0.96592,             0.97864,             0.75352,             0.01989,            0.026098,           0.0049667,            0.008145,            0.008145,            0.008145
                  47,            0.027476,            0.041507,            0.011294,             0.96929,             0.97326,             0.97768,             0.75196,            0.019689,            0.026147,           0.0050747,           0.0080682,           0.0080682,           0.0080682
                  48,            0.026849,            0.039858,             0.01065,             0.97028,             0.97233,             0.97965,             0.76205,            0.019896,            0.025849,           0.0051704,           0.0079903,           0.0079903,           0.0079903
                  49,            0.026829,            0.039672,            0.010545,             0.97654,             0.96992,             0.97793,             0.75944,            0.019559,            0.025805,           0.0049928,           0.0079112,           0.0079112,           0.0079112
                  50,            0.026378,            0.039704,           0.0099426,             0.97621,             0.96914,              0.9794,             0.76188,             0.01932,            0.025767,           0.0052311,           0.0078311,           0.0078311,           0.0078311
                  51,            0.025688,            0.039477,            0.010174,               0.975,             0.97206,             0.98117,             0.76154,            0.019148,            0.025799,           0.0048961,             0.00775,             0.00775,             0.00775
                  52,            0.026211,            0.040739,           0.0097421,             0.97455,             0.96981,             0.97917,              0.7628,            0.019727,            0.025621,           0.0048903,           0.0076679,           0.0076679,           0.0076679
                  53,            0.026351,            0.039542,            0.009867,             0.97224,             0.97022,             0.97824,             0.76329,            0.019439,            0.025746,           0.0048716,           0.0075848,           0.0075848,           0.0075848
                  54,            0.026221,            0.039556,           0.0099478,             0.97109,             0.97182,             0.97968,             0.76447,            0.019603,            0.025354,           0.0051124,           0.0075009,           0.0075009,           0.0075009
                  55,            0.025598,            0.038614,           0.0094735,             0.97204,             0.97571,             0.98032,             0.77208,            0.018783,            0.025193,           0.0046595,            0.007416,            0.007416,            0.007416
                  56,            0.025981,            0.038674,            0.009901,             0.97889,             0.97354,             0.97991,             0.77069,            0.018955,            0.025394,           0.0049309,           0.0073303,           0.0073303,           0.0073303
                  57,            0.025546,            0.039014,           0.0089348,             0.97921,              0.9752,             0.98081,             0.77583,            0.018556,            0.025179,           0.0046978,           0.0072438,           0.0072438,           0.0072438
                  58,            0.025691,            0.039266,           0.0098464,             0.97593,             0.97907,             0.98033,             0.76267,            0.019035,            0.025369,           0.0046254,           0.0071566,           0.0071566,           0.0071566
                  59,            0.026197,            0.039975,           0.0090965,             0.97942,             0.97376,             0.98021,             0.77334,             0.01894,            0.025173,           0.0044628,           0.0070686,           0.0070686,           0.0070686
                  60,            0.025423,            0.039222,           0.0088821,             0.97866,             0.97258,             0.98052,             0.78022,            0.018296,            0.025174,           0.0045314,           0.0069799,           0.0069799,           0.0069799
                  61,            0.025286,            0.039894,           0.0094253,              0.9766,             0.97622,             0.98135,             0.77702,            0.018426,            0.025004,           0.0043459,           0.0068906,           0.0068906,           0.0068906
                  62,            0.025453,            0.038928,           0.0094476,             0.98005,             0.97662,             0.98164,             0.77829,            0.018514,            0.025116,           0.0044992,           0.0068006,           0.0068006,           0.0068006
                  63,            0.025213,            0.039456,            0.008681,             0.97772,             0.96921,             0.97971,             0.76906,            0.018547,            0.025015,           0.0045148,           0.0067101,           0.0067101,           0.0067101
                  64,            0.024798,            0.037661,           0.0096646,             0.97785,             0.97815,              0.9813,             0.77942,            0.018477,            0.024982,           0.0045171,           0.0066191,           0.0066191,           0.0066191
                  65,            0.024616,            0.037887,           0.0095369,             0.97749,              0.9638,             0.97799,             0.77115,            0.018523,            0.025194,           0.0047842,           0.0065276,           0.0065276,           0.0065276
                  66,            0.024527,             0.03816,           0.0089729,             0.97003,             0.97915,              0.9813,             0.78063,            0.018426,            0.024892,           0.0041525,           0.0064356,           0.0064356,           0.0064356
                  67,            0.024669,            0.037982,           0.0087391,             0.97989,             0.97858,             0.98073,              0.7812,            0.018115,            0.024873,           0.0042143,           0.0063432,           0.0063432,           0.0063432
                  68,            0.024163,             0.03736,           0.0088454,             0.97581,             0.97882,             0.98005,             0.78042,            0.018391,            0.024808,           0.0044042,           0.0062505,           0.0062505,           0.0062505
                  69,            0.024241,            0.037234,           0.0090427,             0.97732,             0.97046,             0.98081,             0.78477,            0.017823,            0.024585,           0.0044778,           0.0061574,           0.0061574,           0.0061574
                  70,            0.024328,            0.038066,           0.0087856,             0.97873,             0.97557,              0.9806,             0.78434,            0.017892,            0.024428,           0.0044407,            0.006064,            0.006064,            0.006064
                  71,            0.024092,            0.036832,           0.0088556,              0.9776,             0.97614,             0.97978,             0.77901,            0.017853,            0.024715,           0.0046276,           0.0059704,           0.0059704,           0.0059704
                  72,            0.024388,             0.03811,           0.0088226,             0.97761,             0.97708,             0.98228,             0.78408,            0.017842,            0.024477,           0.0043656,           0.0058766,           0.0058766,           0.0058766
                  73,            0.023936,            0.036781,           0.0088084,             0.97852,             0.97624,             0.98212,             0.78549,            0.018073,             0.02463,           0.0044639,           0.0057826,           0.0057826,           0.0057826
                  74,            0.023711,            0.037123,           0.0084071,             0.97951,             0.97713,             0.98105,             0.78596,            0.017801,            0.024479,           0.0040616,           0.0056884,           0.0056884,           0.0056884
                  75,            0.023267,            0.036617,           0.0084677,             0.98046,             0.97728,             0.98059,             0.78775,            0.017397,            0.024229,           0.0040935,           0.0055942,           0.0055942,           0.0055942
                  76,            0.024324,            0.038967,            0.008356,             0.98088,             0.97882,             0.98114,             0.78812,            0.017647,            0.024348,           0.0039411,              0.0055,              0.0055,              0.0055
                  77,            0.023729,            0.037702,           0.0089562,             0.98158,             0.97456,             0.97908,             0.78497,            0.017646,            0.024427,           0.0041566,           0.0054058,           0.0054058,           0.0054058
                  78,            0.023551,            0.037098,            0.008712,              0.9761,             0.97377,             0.97957,             0.78661,            0.017817,            0.024466,            0.004292,           0.0053116,           0.0053116,           0.0053116
                  79,            0.023917,            0.037794,           0.0082424,             0.98023,             0.97395,             0.98112,             0.78979,              0.0175,            0.024372,           0.0043244,           0.0052174,           0.0052174,           0.0052174
                  80,             0.02298,             0.03818,           0.0080255,             0.97757,             0.98031,              0.9814,             0.79122,            0.017189,            0.024283,           0.0039749,           0.0051234,           0.0051234,           0.0051234
                  81,            0.023019,            0.037584,           0.0080908,             0.97738,             0.97636,             0.98072,             0.79008,            0.017341,            0.024172,           0.0039637,           0.0050296,           0.0050296,           0.0050296
                  82,             0.02295,            0.036544,           0.0077058,             0.98094,             0.97859,             0.98112,              0.7944,            0.017418,            0.024106,           0.0038434,            0.004936,            0.004936,            0.004936
                  83,            0.022943,             0.03615,           0.0076152,             0.97974,             0.97815,             0.98169,             0.79089,            0.017466,            0.024154,           0.0039442,           0.0048426,           0.0048426,           0.0048426
                  84,            0.022973,            0.036761,            0.008239,             0.98006,             0.97512,             0.98061,             0.78555,             0.01751,             0.02413,           0.0041773,           0.0047495,           0.0047495,           0.0047495
                  85,            0.023234,            0.037389,           0.0077639,             0.98143,             0.97694,             0.98152,             0.78692,            0.017194,             0.02402,           0.0038711,           0.0046568,           0.0046568,           0.0046568
                  86,              0.0229,            0.037193,           0.0075093,             0.98096,             0.97956,             0.98071,              0.7946,            0.017214,            0.024188,           0.0039184,           0.0045644,           0.0045644,           0.0045644
