               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072234,            0.068714,            0.060397,             0.16264,             0.46588,              0.3023,             0.11963,            0.046406,            0.037952,            0.052535,           0.0033304,           0.0033304,            0.070027
                   1,            0.056296,             0.05057,            0.049221,             0.26605,             0.66564,             0.50483,             0.27906,            0.040461,            0.033141,            0.039739,            0.006663,            0.006663,            0.040026
                   2,            0.054038,            0.047776,            0.039293,               0.519,             0.54514,             0.62515,             0.37338,            0.044212,            0.031776,            0.030737,           0.0099931,           0.0099931,            0.010023
                   3,            0.046391,            0.046511,            0.030163,             0.51622,             0.90239,             0.75367,             0.39837,             0.03556,            0.030637,            0.021376,           0.0099911,           0.0099911,           0.0099911
                   4,            0.040375,            0.043716,            0.023449,             0.83197,             0.88535,             0.93379,             0.56555,            0.032552,              0.0296,            0.015918,           0.0099911,           0.0099911,           0.0099911
                   5,            0.036838,            0.042416,            0.019947,             0.89866,              0.9359,             0.96723,             0.70186,            0.025749,            0.027714,            0.013728,           0.0099842,           0.0099842,           0.0099842
                   6,            0.034215,            0.040945,             0.01681,             0.91772,             0.96785,             0.96517,             0.69238,            0.025244,            0.027632,            0.010335,           0.0099753,           0.0099753,           0.0099753
                   7,            0.034128,            0.039561,            0.014434,             0.96847,             0.96181,             0.97838,             0.72228,            0.025496,            0.027154,           0.0087997,           0.0099645,           0.0099645,           0.0099645
                   8,            0.032531,            0.040046,            0.012503,             0.96437,              0.9713,              0.9809,             0.68958,            0.026104,            0.027213,           0.0082503,           0.0099517,           0.0099517,           0.0099517
                   9,            0.031858,            0.040293,            0.012176,             0.94612,             0.95238,             0.96536,             0.70622,            0.026223,            0.027258,              0.0092,            0.009937,            0.009937,            0.009937
                  10,            0.031092,            0.038719,            0.012162,              0.9779,             0.97541,             0.98086,             0.75324,             0.02276,            0.025867,           0.0070936,           0.0099203,           0.0099203,           0.0099203
                  11,            0.029385,            0.038123,            0.011174,             0.97314,             0.97821,             0.98217,             0.75501,             0.02196,            0.025429,           0.0064313,           0.0099017,           0.0099017,           0.0099017
                  12,            0.029893,            0.037747,            0.010066,             0.97307,             0.97401,             0.98192,             0.76123,            0.021561,            0.025481,           0.0061509,           0.0098811,           0.0098811,           0.0098811
                  13,             0.02843,            0.037922,            0.010837,             0.97425,             0.96777,             0.98049,             0.76517,            0.021833,            0.025704,           0.0061629,           0.0098586,           0.0098586,           0.0098586
                  14,            0.027396,            0.037321,            0.010386,             0.97582,             0.97183,             0.98182,             0.76931,            0.020867,            0.025003,           0.0061933,           0.0098342,           0.0098342,           0.0098342
                  15,            0.028095,            0.038073,           0.0095787,             0.98128,             0.96966,             0.98263,             0.76938,            0.021261,            0.024864,           0.0062419,           0.0098079,           0.0098079,           0.0098079
                  16,            0.027507,            0.037797,            0.009164,             0.97516,             0.97769,              0.9836,             0.77618,            0.020948,            0.024596,           0.0052404,           0.0097798,           0.0097798,           0.0097798
                  17,            0.026918,            0.036688,           0.0081869,             0.97593,             0.97658,             0.98072,              0.7794,            0.020563,            0.024639,           0.0054187,           0.0097497,           0.0097497,           0.0097497
                  18,            0.027088,            0.037114,           0.0084235,             0.97934,             0.98015,             0.98369,             0.78833,            0.019636,            0.024183,           0.0048937,           0.0097178,           0.0097178,           0.0097178
                  19,            0.026313,            0.035253,           0.0088405,             0.97892,             0.97949,             0.98319,             0.79509,             0.01939,            0.024446,           0.0048628,            0.009684,            0.009684,            0.009684
                  20,            0.025259,            0.036168,           0.0086876,              0.9772,             0.97789,             0.98129,             0.79539,            0.019418,            0.024076,           0.0057339,           0.0096484,           0.0096484,           0.0096484
                  21,            0.026641,            0.036726,           0.0084872,             0.97673,             0.98231,              0.9826,             0.79238,            0.019787,            0.024002,           0.0047889,            0.009611,            0.009611,            0.009611
                  22,            0.025439,            0.035846,           0.0082373,             0.98046,             0.97884,             0.98228,             0.79721,            0.019103,            0.023821,           0.0050312,           0.0095717,           0.0095717,           0.0095717
                  23,             0.02529,            0.034847,           0.0080469,             0.97677,             0.97913,             0.98328,             0.80322,            0.019229,            0.023731,           0.0053011,           0.0095307,           0.0095307,           0.0095307
                  24,            0.025303,            0.034463,           0.0076622,             0.97716,             0.97726,             0.98234,             0.79355,            0.018642,             0.02382,           0.0053731,           0.0094879,           0.0094879,           0.0094879
                  25,            0.024563,            0.035495,           0.0079672,             0.96728,             0.96564,             0.97192,             0.79242,            0.019186,             0.02393,           0.0064479,           0.0094434,           0.0094434,           0.0094434
                  26,            0.025285,            0.035573,           0.0079065,             0.98021,             0.97697,             0.98385,             0.79972,            0.019416,            0.023763,           0.0047801,           0.0093971,           0.0093971,           0.0093971
                  27,            0.024632,            0.034787,           0.0075125,             0.97928,             0.97578,             0.98356,             0.80186,            0.018642,            0.023505,           0.0047371,           0.0093491,           0.0093491,           0.0093491
                  28,            0.024438,            0.034437,            0.007493,             0.98317,             0.97666,             0.98387,             0.79992,            0.018166,            0.023524,           0.0047495,           0.0092995,           0.0092995,           0.0092995
                  29,            0.023713,            0.034536,           0.0076645,             0.97855,             0.97325,             0.98298,             0.80915,            0.017609,             0.02312,           0.0048596,           0.0092481,           0.0092481,           0.0092481
                  30,            0.024335,             0.03484,           0.0071302,             0.97597,             0.97533,              0.9819,             0.80803,            0.017728,            0.023228,           0.0047528,           0.0091952,           0.0091952,           0.0091952
