               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066099,            0.045688,            0.048927,            0.037332,             0.42029,            0.067133,            0.026969,            0.043754,            0.028081,            0.043524,           0.0033289,           0.0033289,             0.07004
                   1,            0.043522,            0.035114,            0.044124,              0.1004,             0.35454,             0.14245,            0.073242,            0.031658,            0.023551,            0.042353,           0.0066621,           0.0066621,             0.04004
                   2,            0.038924,            0.033718,             0.04324,             0.36531,             0.34985,             0.21752,             0.10608,            0.029446,            0.021952,            0.041337,           0.0099946,           0.0099946,            0.010039
                   3,            0.031957,            0.030924,            0.041991,             0.12035,             0.57031,             0.27671,             0.16063,            0.024595,            0.019994,            0.038351,           0.0099978,           0.0099978,           0.0099978
                   4,            0.028092,             0.02984,            0.038969,             0.34905,             0.36251,             0.32421,             0.20646,            0.020394,            0.019401,            0.033031,           0.0099978,           0.0099978,           0.0099978
                   5,            0.026587,            0.028794,            0.035414,             0.17701,             0.58016,             0.33364,             0.18095,            0.026786,            0.018955,             0.02924,           0.0099961,           0.0099961,           0.0099961
                   6,            0.025674,            0.027843,            0.032447,              0.2998,              0.5993,             0.46475,             0.26691,              0.0201,            0.018504,            0.026584,           0.0099938,           0.0099938,           0.0099938
                   7,            0.025472,            0.027564,            0.029442,             0.41782,             0.62859,             0.54085,             0.34176,            0.023026,            0.018355,            0.023773,           0.0099911,           0.0099911,           0.0099911
                   8,            0.024877,            0.027512,            0.027034,             0.47951,             0.64027,             0.58867,              0.3997,            0.018488,            0.017741,            0.022085,           0.0099879,           0.0099879,           0.0099879
                   9,            0.023989,            0.027378,            0.024914,             0.40412,             0.72197,             0.59618,             0.41258,             0.01907,            0.017578,             0.02068,           0.0099842,           0.0099842,           0.0099842
                  10,            0.023386,             0.02742,            0.023318,             0.42614,             0.73423,             0.61938,             0.42601,            0.019867,            0.017403,            0.020084,             0.00998,             0.00998,             0.00998
                  11,            0.023035,            0.026607,            0.022131,             0.47287,              0.7299,             0.66071,             0.43575,            0.018926,            0.017492,            0.018177,           0.0099753,           0.0099753,           0.0099753
                  12,            0.022457,            0.026012,            0.021548,             0.50541,              0.6989,             0.67928,             0.46822,            0.018072,            0.017099,            0.017109,           0.0099702,           0.0099702,           0.0099702
                  13,            0.023084,            0.026089,            0.020451,             0.67658,             0.68477,             0.75675,             0.51875,            0.018098,            0.017343,            0.016422,           0.0099645,           0.0099645,           0.0099645
                  14,            0.022166,            0.025859,             0.01921,             0.64519,              0.6766,             0.77371,              0.5411,            0.017108,            0.016959,            0.015312,           0.0099584,           0.0099584,           0.0099584
                  15,            0.021208,             0.02643,            0.017732,             0.62024,              0.8453,             0.81725,              0.5849,            0.015844,            0.016661,            0.014592,           0.0099517,           0.0099517,           0.0099517
                  16,            0.022042,            0.025493,            0.016998,             0.67973,             0.86155,             0.87198,               0.592,            0.016997,            0.017073,            0.013789,           0.0099446,           0.0099446,           0.0099446
                  17,            0.021709,             0.02586,            0.016006,             0.90138,              0.7715,             0.88795,             0.63875,            0.016762,            0.016845,            0.012759,            0.009937,            0.009937,            0.009937
                  18,            0.021745,            0.025205,            0.015355,             0.73906,             0.89035,             0.89273,             0.64837,            0.016221,            0.016502,            0.011533,           0.0099289,           0.0099289,           0.0099289
                  19,            0.021401,              0.0246,            0.014252,             0.80857,             0.88136,             0.90614,             0.65801,            0.016517,            0.016571,            0.010856,           0.0099203,           0.0099203,           0.0099203
                  20,             0.02127,             0.02529,            0.013726,             0.85036,             0.87804,             0.90431,              0.6683,            0.015873,            0.016596,           0.0099441,           0.0099112,           0.0099112,           0.0099112
                  21,            0.021159,            0.024477,            0.012705,             0.89961,             0.88645,             0.92712,             0.67441,            0.015186,            0.016312,           0.0095971,           0.0099017,           0.0099017,           0.0099017
                  22,            0.020778,            0.024286,            0.012048,             0.90906,             0.88435,             0.93681,              0.6772,            0.016526,             0.01637,           0.0084798,           0.0098916,           0.0098916,           0.0098916
                  23,            0.021313,            0.025379,            0.011779,             0.92419,             0.91661,             0.95106,             0.70558,            0.015484,            0.016208,           0.0082126,           0.0098811,           0.0098811,           0.0098811
                  24,             0.02044,            0.025543,            0.011603,              0.9207,             0.88648,             0.94464,              0.6747,            0.016762,            0.016374,           0.0083786,           0.0098701,           0.0098701,           0.0098701
                  25,            0.020565,            0.024184,            0.010949,              0.9463,             0.90533,             0.95321,             0.70905,            0.014894,            0.016226,           0.0075071,           0.0098586,           0.0098586,           0.0098586
                  26,            0.020376,            0.024958,            0.010677,             0.94663,             0.92532,             0.96052,             0.71414,               0.015,            0.016099,           0.0069825,           0.0098467,           0.0098467,           0.0098467
                  27,            0.020188,            0.024961,           0.0099747,             0.95465,             0.92272,             0.96428,             0.72957,            0.016179,            0.015948,           0.0066018,           0.0098342,           0.0098342,           0.0098342
